uid,id,name,item_class,normalized_class,tier,allowed_slots,profile_id,motif,atk,def,hp,spd,pwr,primary_keyword,secondary_keyword,effect_tier,archetype_tags,is_marquee,override_effect_id,wiki_url,relevance_score
130,the_tempest_rising,The Tempest Rising,Boots,boots,T2,minor,tempo_stride,storm,0,3,1,11,1,Dodge,,major,tempo|hunter,0,,https://www.poewiki.net/wiki/The_Tempest_Rising,50
131,replica_atziris_foible,Replica Atziri's Foible,Amulet,amulet,T2,charm,support_charm,venom,3,2,2,1,6,Lifesteal,,major,support|sustain|venom,0,,https://www.poewiki.net/wiki/Replica_Atziri%27s_Foible,47
132,atziris_foible,Atziri's Foible,Amulet,amulet,T2,charm,support_charm,insight,3,2,2,1,6,Foresight,,major,support|sustain|focus,0,,https://www.poewiki.net/wiki/Atziri%27s_Foible,47
133,kaoms_sign,Kaom's Sign,Ring,ring,T2,charm,volatile_charm,beast,4,1,0,2,5,Strength,,major,wildcard|support|assault,0,,https://www.poewiki.net/wiki/Kaom%27s_Sign,45
134,the_tempests_liberation,The Tempest's Liberation,Helmet,helmet,T2,minor,seer_helm,storm,0,7,4,1,4,Burn,,major,insight|bastion|tempo,0,,https://www.poewiki.net/wiki/The_Tempest%27s_Liberation,45
135,shapers_seed,Shaper's Seed,Amulet,amulet,T2,charm,support_charm,storm,3,2,2,1,6,Foresight,,major,support|sustain|tempo,0,,https://www.poewiki.net/wiki/Shaper%27s_Seed,45
136,the_tempests_binding,The Tempest's Binding,Helmet,helmet,T2,minor,seer_helm,storm,0,7,4,1,4,Burn,,major,insight|bastion|tempo,0,,https://www.poewiki.net/wiki/The_Tempest%27s_Binding,45
137,eye_of_chayula,Eye of Chayula,Amulet,amulet,T2,charm,support_charm,insight,3,2,2,1,6,Foresight,,major,support|sustain|focus,0,,https://www.poewiki.net/wiki/Eye_of_Chayula,45
138,atziris_reign,Atziri's Reign,Jewel,jewel,T2,focus,focus_engine,neutral,0,0,0,0,13,Foresight,,major,focus|support,0,,https://www.poewiki.net/wiki/Atziri%27s_Reign,43
139,kaoms_binding,Kaom's Binding,Belt,belt,T2,charm,sustain_charm,ember,1,5,8,0,2,Regen,,major,sustain|bastion|ember,0,,https://www.poewiki.net/wiki/Kaom%27s_Binding,43
140,the_hour_of_divinity,The Hour of Divinity,Relic,relic,T2,focus,relic_engine,blood,0,1,1,0,10,Regen,,major,focus|wildcard|sustain,0,,https://www.poewiki.net/wiki/The_Hour_of_Divinity,42
141,the_power_and_the_promise,The Power and the Promise,Relic,relic,T2,focus,relic_engine,ember,0,1,1,0,10,Vulnerable,,major,focus|wildcard|ember,0,,https://www.poewiki.net/wiki/The_Power_and_the_Promise,42
142,the_first_crest,The First Crest,Relic,relic,T2,focus,relic_engine,insight,0,1,1,0,10,Foresight,,major,focus|wildcard,0,,https://www.poewiki.net/wiki/The_First_Crest,42
143,the_writhing_jar,The Writhing Jar,Hybrid Flask,flask,T2,tactical,flask_tactical,blood,0,0,0,0,6,Tactical,,major,tactical|sustain,0,,https://www.poewiki.net/wiki/The_Writhing_Jar,42
144,the_wise_oak,The Wise Oak,Utility Flask,flask,T2,tactical,flask_tactical,ember,0,0,0,0,6,Tactical,,major,tactical|ember,0,,https://www.poewiki.net/wiki/The_Wise_Oak,42
145,the_eternal_apple,The Eternal Apple,Shield,shield,T2,offhand,bastion_guard,bastion,0,12,5,0,4,Block,,major,bastion|control,0,,https://www.poewiki.net/wiki/The_Eternal_Apple,42
146,the_goddess_scorned,The Goddess Scorned,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,ember,11,1,0,4,1,Vulnerable,,major,assault|tempo|ember,0,,https://www.poewiki.net/wiki/The_Goddess_Scorned,42
147,the_grey_wind,The Grey Wind,One-Handed Axe,axe_1h,T2,mainhand|offhand,assault_rend,ember,12,1,1,1,1,Vulnerable,,major,assault|control|ember,0,,https://www.poewiki.net/wiki/The_Grey_Wind,42
148,the_original_scripture,The Original Scripture,Relic,relic,T2,focus,relic_engine,ember,0,1,1,0,10,Vulnerable,,major,focus|wildcard|ember,0,,https://www.poewiki.net/wiki/The_Original_Scripture,42
149,the_monastery_bell,The Monastery Bell,One-Handed Mace,mace_1h,T2,mainhand|offhand,control_crusher,frost,10,3,1,1,3,Stagger,,major,control|bastion,0,,https://www.poewiki.net/wiki/The_Monastery_Bell,42
150,the_night_lamp,The Night Lamp,Relic,relic,T2,focus,relic_engine,ember,0,1,1,0,10,Vulnerable,,major,focus|wildcard|ember,0,,https://www.poewiki.net/wiki/The_Night_Lamp,42
151,the_vinktar_square,The Vinktar Square,Map,map,T2,tactical,map_tactical,ember,0,0,0,0,7,MapMod,,major,tactical|ember,0,,https://www.poewiki.net/wiki/The_Vinktar_Square,42
152,the_gilded_chalice,The Gilded Chalice,Relic,relic,T2,focus,relic_engine,frost,0,1,1,0,10,Foresight,,major,focus|wildcard|control,0,,https://www.poewiki.net/wiki/The_Gilded_Chalice,42
153,the_second_sacrament,The Second Sacrament,Relic,relic,T2,focus,relic_engine,neutral,0,1,1,0,10,Foresight,,major,focus|wildcard|support,0,,https://www.poewiki.net/wiki/The_Second_Sacrament,42
154,the_goddess_bound,The Goddess Bound,Thrusting One-Handed Sword,rapier_1h,T2,mainhand|offhand,tempo_duelist,venom,8,0,0,8,1,Dodge,,major,tempo|assault|venom,0,,https://www.poewiki.net/wiki/The_Goddess_Bound,42
155,the_gluttonous_tide,The Gluttonous Tide,Bow,bow,T2,mainhand,hunter_ranged,ember,10,0,0,5,2,Vulnerable,,major,hunter|tempo|ember,0,,https://www.poewiki.net/wiki/The_Gluttonous_Tide,42
156,the_chains_of_castigation,The Chains of Castigation,Relic,relic,T2,focus,relic_engine,bastion,0,1,1,0,10,Plating,,major,focus|wildcard|bastion,0,,https://www.poewiki.net/wiki/The_Chains_of_Castigation,42
157,the_living_blade,The Living Blade,Two-Handed Sword,sword_2h,T2,mainhand,heavy_execution,neutral,15,0,1,0,1,Foresight,,major,assault|burst|support,0,,https://www.poewiki.net/wiki/The_Living_Blade,42
158,the_cowards_trial,The Coward's Trial,Map,map,T2,tactical,map_tactical,insight,0,0,0,0,7,MapMod,,major,tactical|focus,0,,https://www.poewiki.net/wiki/The_Coward%27s_Trial,42
159,the_blood_of_innocence,The Blood of Innocence,Relic,relic,T2,focus,relic_engine,storm,0,1,1,0,10,Foresight,,major,focus|wildcard|tempo,0,,https://www.poewiki.net/wiki/The_Blood_of_Innocence,42
160,the_broken_censer,The Broken Censer,Relic,relic,T2,focus,relic_engine,storm,0,1,1,0,10,Foresight,,major,focus|wildcard|tempo,0,,https://www.poewiki.net/wiki/The_Broken_Censer,42
161,the_saviour,The Saviour,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,storm,11,1,0,4,1,Strength,,major,assault|tempo,0,,https://www.poewiki.net/wiki/The_Saviour,40
162,the_tempestuous_steel,The Tempestuous Steel,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,storm,11,1,0,4,1,Strength,,major,assault|tempo,0,,https://www.poewiki.net/wiki/The_Tempestuous_Steel,40
163,the_oppressor,The Oppressor,Shield,shield,T2,offhand,bastion_guard,ember,0,12,5,0,4,Block,,major,bastion|control|ember,0,,https://www.poewiki.net/wiki/The_Oppressor,40
164,the_anticipation,The Anticipation,Shield,shield,T2,offhand,bastion_guard,tempo,0,12,5,0,4,Block,,major,bastion|control|tempo,0,,https://www.poewiki.net/wiki/The_Anticipation,40
165,the_poets_pen,The Poet's Pen,Wand,wand,T2,mainhand|offhand,ember_caster,storm,5,0,0,4,9,Dodge,,major,ember|arcane|tempo,0,,https://www.poewiki.net/wiki/The_Poet%27s_Pen,40
166,the_poised_prism,The Poised Prism,Quiver,quiver,T2,offhand,hunter_support,void,5,0,0,3,4,Vulnerable,,major,hunter|tempo|arcane,0,,https://www.poewiki.net/wiki/The_Poised_Prism,40
167,the_twilight_temple,The Twilight Temple,Map,map,T2,tactical,map_tactical,storm,0,0,0,0,7,MapMod,,major,tactical|tempo,0,,https://www.poewiki.net/wiki/The_Twilight_Temple,40
168,the_hidden_blade,The Hidden Blade,Dagger,dagger,T2,mainhand|offhand,venom_burst,void,8,0,0,7,4,Poison,,major,venom|tempo|arcane,0,,https://www.poewiki.net/wiki/The_Hidden_Blade,40
169,the_harvest,The Harvest,Two-Handed Axe,axe_2h,T2,mainhand,heavy_execution,neutral,16,0,2,0,1,Vulnerable,,major,assault|burst|support,0,,https://www.poewiki.net/wiki/The_Harvest,40
170,the_burden_of_shadows,The Burden of Shadows,Staff,staff,T2,mainhand,channel_guard,void,7,4,4,0,6,Burn,,major,ember|bastion|arcane,0,,https://www.poewiki.net/wiki/The_Burden_of_Shadows,40
171,the_searing_touch,The Searing Touch,Staff,staff,T2,mainhand,channel_guard,ember,7,4,4,0,6,Burn,,major,ember|bastion,0,,https://www.poewiki.net/wiki/The_Searing_Touch,40
172,the_sorrow_of_the_divine,The Sorrow of the Divine,Utility Flask,flask,T2,tactical,flask_tactical,void,0,0,0,0,6,Tactical,,major,tactical|arcane,0,,https://www.poewiki.net/wiki/The_Sorrow_of_the_Divine,40
173,the_iron_mass,The Iron Mass,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,neutral,11,1,0,4,1,Strength,,major,assault|tempo|support,0,,https://www.poewiki.net/wiki/The_Iron_Mass,40
174,the_blood_reaper,The Blood Reaper,Two-Handed Axe,axe_2h,T2,mainhand,heavy_execution,blood,16,0,2,0,1,Strength,,major,assault|burst|sustain,0,,https://www.poewiki.net/wiki/The_Blood_Reaper,40
175,the_battle_within,The Battle Within,Tincture,tincture,T2,tactical,tincture_tactical,neutral,1,0,0,2,6,Tactical,,major,tactical|support,0,,https://www.poewiki.net/wiki/The_Battle_Within,40
176,the_overflowing_chalice,The Overflowing Chalice,Utility Flask,flask,T2,tactical,flask_tactical,frost,0,0,0,0,6,Tactical,,major,tactical|control,0,,https://www.poewiki.net/wiki/The_Overflowing_Chalice,40
177,the_screaming_eagle,The Screaming Eagle,One-Handed Axe,axe_1h,T2,mainhand|offhand,assault_rend,neutral,12,1,1,1,1,Strength,,major,assault|control|support,0,,https://www.poewiki.net/wiki/The_Screaming_Eagle,40
178,the_surrender,The Surrender,Shield,shield,T2,offhand,bastion_guard,blood,0,12,5,0,4,Block,,major,bastion|control|sustain,0,,https://www.poewiki.net/wiki/The_Surrender,40
179,the_scourge,The Scourge,Claw,claw,T2,mainhand|offhand,venom_leech,venom,9,0,0,6,4,Poison,,major,venom|sustain,0,,https://www.poewiki.net/wiki/The_Scourge,40
180,the_scales_of_justice,The Scales of Justice,Shield,shield,T2,offhand,bastion_guard,frost,0,12,5,0,4,Plating,,major,bastion|control,0,,https://www.poewiki.net/wiki/The_Scales_of_Justice,40
181,the_blood_thorn,The Blood Thorn,Staff,staff,T2,mainhand,channel_guard,venom,7,4,4,0,6,Burn,,major,ember|bastion|venom,0,,https://www.poewiki.net/wiki/The_Blood_Thorn,40
182,the_stormheart,The Stormheart,Staff,staff,T2,mainhand,channel_guard,storm,7,4,4,0,6,Burn,,major,ember|bastion|tempo,0,,https://www.poewiki.net/wiki/The_Stormheart,40
183,the_supreme_truth,The Supreme Truth,Sceptre,sceptre,T2,mainhand|offhand,ember_battlemage,insight,6,1,1,1,7,Foresight,,major,ember|arcane|focus,0,,https://www.poewiki.net/wiki/The_Supreme_Truth,40
184,the_grey_spire,The Grey Spire,Warstaff,warstaff,T2,mainhand,channel_control,tempo,8,4,3,0,6,Stagger,,major,control|arcane|tempo,0,,https://www.poewiki.net/wiki/The_Grey_Spire,40
185,the_ghastly_theatre,The Ghastly Theatre,Shield,shield,T2,offhand,bastion_guard,ember,0,12,5,0,4,Block,,major,bastion|control|ember,0,,https://www.poewiki.net/wiki/The_Ghastly_Theatre,40
186,the_winds_of_fate,The Winds of Fate,Warstaff,warstaff,T2,mainhand,channel_control,neutral,8,4,3,0,6,Stagger,,major,control|arcane|support,0,,https://www.poewiki.net/wiki/The_Winds_of_Fate,40
187,the_whispering_ice,The Whispering Ice,Warstaff,warstaff,T2,mainhand,channel_control,frost,8,4,3,0,6,Stagger,,major,control|arcane,0,,https://www.poewiki.net/wiki/The_Whispering_Ice,40
188,the_consuming_dark,The Consuming Dark,Rune Dagger,rune_dagger,T2,mainhand|offhand,occult_venom,ember,7,0,0,6,6,Burn,,major,venom|arcane|ember,0,,https://www.poewiki.net/wiki/The_Consuming_Dark,40
189,the_deep_ones_hide,The Deep One's Hide,Shield,shield,T2,offhand,bastion_guard,bastion,0,12,5,0,4,Block,,major,bastion|control,0,,https://www.poewiki.net/wiki/The_Deep_One%27s_Hide,40
190,the_dancing_dervish,The Dancing Dervish,Two-Handed Sword,sword_2h,T2,mainhand,heavy_execution,tempo,15,0,1,0,1,Foresight,,major,assault|burst|tempo,0,,https://www.poewiki.net/wiki/The_Dancing_Dervish,40
191,the_flawed_refuge,The Flawed Refuge,Shield,shield,T2,offhand,bastion_guard,frost,0,12,5,0,4,Plating,,major,bastion|control,0,,https://www.poewiki.net/wiki/The_Flawed_Refuge,40
192,the_black_cane,The Black Cane,Sceptre,sceptre,T2,mainhand|offhand,ember_battlemage,void,6,1,1,1,7,Burn,,major,ember|arcane,0,,https://www.poewiki.net/wiki/The_Black_Cane,40
193,the_crimson_storm,The Crimson Storm,Bow,bow,T2,mainhand,hunter_ranged,ember,10,0,0,5,2,Vulnerable,,major,hunter|tempo|ember,0,,https://www.poewiki.net/wiki/The_Crimson_Storm,40
194,the_golden_charlatan,The Golden Charlatan,Two-Handed Sword,sword_2h,T2,mainhand,heavy_execution,ember,15,0,1,0,1,Foresight,,major,assault|burst|ember,0,,https://www.poewiki.net/wiki/The_Golden_Charlatan,40
195,the_putrid_cloister,The Putrid Cloister,Map,map,T2,tactical,map_tactical,neutral,0,0,0,0,7,MapMod,,major,tactical|support,0,,https://www.poewiki.net/wiki/The_Putrid_Cloister,40
196,the_fulcrum,The Fulcrum,Warstaff,warstaff,T2,mainhand,channel_control,neutral,8,4,3,0,6,Stagger,,major,control|arcane|support,0,,https://www.poewiki.net/wiki/The_Fulcrum,40
197,the_princess,The Princess,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,neutral,11,1,0,4,1,Strength,,major,assault|tempo|support,0,,https://www.poewiki.net/wiki/The_Princess,40
198,the_wasp_nest,The Wasp Nest,Claw,claw,T2,mainhand|offhand,venom_leech,venom,9,0,0,6,4,Poison,,major,venom|sustain,0,,https://www.poewiki.net/wiki/The_Wasp_Nest,40
199,the_annihilating_light,The Annihilating Light,Staff,staff,T2,mainhand,channel_guard,storm,7,4,4,0,6,Burn,,major,ember|bastion|tempo,0,,https://www.poewiki.net/wiki/The_Annihilating_Light,40
200,shapers_touch,Shaper's Touch,Gloves,gloves,T2,minor,tempo_grip,void,5,2,0,6,3,Strength,,major,tempo|sustain|arcane,0,,https://www.poewiki.net/wiki/Shaper%27s_Touch,37
201,replica_kaoms_heart,Replica Kaom's Heart,Body Armour,body,T2,body,bastion_shell,blood,0,13,9,0,1,Regen,,major,bastion|sustain,0,,https://www.poewiki.net/wiki/Replica_Kaom%27s_Heart,37
202,the_dark_seer,The Dark Seer,Sceptre,sceptre,T2,mainhand|offhand,ember_battlemage,void,6,1,1,1,7,Burn,,major,ember|arcane,0,,https://www.poewiki.net/wiki/The_Dark_Seer,35
203,the_beachhead,The Beachhead,Map,map,T2,tactical,map_tactical,neutral,0,0,0,0,7,MapMod,,major,tactical|support,0,,https://www.poewiki.net/wiki/The_Beachhead,35
204,the_immortal_will,The Immortal Will,Shield,shield,T2,offhand,bastion_guard,neutral,0,12,5,0,4,Block,,major,bastion|control|support,0,,https://www.poewiki.net/wiki/The_Immortal_Will,35
205,the_enmity_divine,The Enmity Divine,Staff,staff,T2,mainhand,channel_guard,neutral,7,4,4,0,6,Burn,,major,ember|bastion|support,0,,https://www.poewiki.net/wiki/The_Enmity_Divine,35
206,the_yielding_mortality,The Yielding Mortality,Staff,staff,T2,mainhand,channel_guard,neutral,7,4,4,0,6,Burn,,major,ember|bastion|support,0,,https://www.poewiki.net/wiki/The_Yielding_Mortality,35
207,kaoms_spirit,Kaom's Spirit,Gloves,gloves,T2,minor,tempo_grip,beast,5,2,0,6,3,Strength,,major,tempo|sustain|assault,0,,https://www.poewiki.net/wiki/Kaom%27s_Spirit,35
208,kaoms_roots,Kaom's Roots,Boots,boots,T2,minor,tempo_stride,tempo,0,3,1,11,1,Dodge,,major,tempo|hunter,0,,https://www.poewiki.net/wiki/Kaom%27s_Roots,35
209,replica_atziris_acuity,Replica Atziri's Acuity,Gloves,gloves,T2,minor,tempo_grip,neutral,5,2,0,6,3,Strength,,major,tempo|sustain|support,0,,https://www.poewiki.net/wiki/Replica_Atziri%27s_Acuity,35
210,the_unshattered_will,The Unshattered Will,Shield,shield,T2,offhand,bastion_guard,neutral,0,12,5,0,4,Block,,major,bastion|control|support,0,,https://www.poewiki.net/wiki/The_Unshattered_Will,35
211,kaoms_command,Kaom's Command,Helmet,helmet,T2,minor,seer_helm,beast,0,7,4,1,4,Foresight,,major,insight|bastion|assault,0,,https://www.poewiki.net/wiki/Kaom%27s_Command,35
212,the_shattered_divinity,The Shattered Divinity,Quiver,quiver,T2,offhand,hunter_support,insight,5,0,0,3,4,Vulnerable,,major,hunter|tempo|focus,0,,https://www.poewiki.net/wiki/The_Shattered_Divinity,35
213,the_rippling_thoughts,The Rippling Thoughts,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,insight,11,1,0,4,1,Strength,,major,assault|tempo|focus,0,,https://www.poewiki.net/wiki/The_Rippling_Thoughts,35
214,the_surging_thoughts,The Surging Thoughts,One-Handed Sword,sword_1h,T2,mainhand|offhand,assault_balanced,insight,11,1,0,4,1,Strength,,major,assault|tempo|focus,0,,https://www.poewiki.net/wiki/The_Surging_Thoughts,35
215,the_fracturing_spinner,The Fracturing Spinner,Quiver,quiver,T2,offhand,hunter_support,neutral,5,0,0,3,4,Vulnerable,,major,hunter|tempo|support,0,,https://www.poewiki.net/wiki/The_Fracturing_Spinner,35
216,atziris_acuity,Atziri's Acuity,Gloves,gloves,T2,minor,tempo_grip,blood,5,2,0,6,3,Strength,,major,tempo|sustain,0,,https://www.poewiki.net/wiki/Atziri%27s_Acuity,35
217,prosperos_protection,Prospero's Protection,Ring,ring,T3,charm,volatile_charm,neutral,2,0,0,1,3,Poison,,simple,wildcard|support,0,,https://www.poewiki.net/wiki/Prospero%27s_Protection,32
218,replica_dragonfangs_flight,Replica Dragonfang's Flight,Amulet,amulet,T3,charm,support_charm,storm,2,1,1,1,3,Foresight,,simple,support|sustain|tempo,0,,https://www.poewiki.net/wiki/Replica_Dragonfang%27s_Flight,32
219,putembos_meadow,Putembo's Meadow,Ring,ring,T3,charm,volatile_charm,insight,2,0,0,1,3,Poison,,simple,wildcard|support|focus,0,,https://www.poewiki.net/wiki/Putembo%27s_Meadow,32
220,atziris_splendour,Atziri's Splendour,Body Armour,body,T3,body,bastion_shell,neutral,0,7,5,0,1,Plating,,simple,bastion|sustain|support,0,,https://www.poewiki.net/wiki/Atziri%27s_Splendour,32
221,vivinsect,Vivinsect,Ring,ring,T3,charm,volatile_charm,blood,2,0,0,1,3,Strength,,simple,wildcard|support|sustain,0,,https://www.poewiki.net/wiki/Vivinsect,32
222,putembos_mountain,Putembo's Mountain,Ring,ring,T3,charm,volatile_charm,blood,2,0,0,1,3,Strength,,simple,wildcard|support|sustain,0,,https://www.poewiki.net/wiki/Putembo%27s_Mountain,32
223,tasalios_sign,Tasalio's Sign,Ring,ring,T3,charm,volatile_charm,beast,2,0,0,1,3,Strength,,simple,wildcard|support|assault,0,,https://www.poewiki.net/wiki/Tasalio%27s_Sign,32
224,heartbound_loop,Heartbound Loop,Ring,ring,T3,charm,volatile_charm,blood,2,0,0,1,3,Strength,,simple,wildcard|support|sustain,0,,https://www.poewiki.net/wiki/Heartbound_Loop,32
225,leaderships_price,Leadership's Price,Amulet,amulet,T3,charm,support_charm,frost,2,1,1,1,3,Foresight,,simple,support|sustain|control,0,,https://www.poewiki.net/wiki/Leadership%27s_Price,32
226,tainted_pact,Tainted Pact,Amulet,amulet,T3,charm,support_charm,insight,2,1,1,1,3,Foresight,,simple,support|sustain|focus,0,,https://www.poewiki.net/wiki/Tainted_Pact,32
227,ahkelis_valley,Ahkeli's Valley,Ring,ring,T3,charm,volatile_charm,neutral,2,0,0,1,3,Poison,,simple,wildcard|support,0,,https://www.poewiki.net/wiki/Ahkeli%27s_Valley,32
228,tavukai,Tavukai,Amulet,amulet,T3,charm,support_charm,frost,2,1,1,1,3,Foresight,,simple,support|sustain|control,0,,https://www.poewiki.net/wiki/Tavukai,32
229,warped_timepiece,Warped Timepiece,Amulet,amulet,T3,charm,support_charm,blood,2,1,1,1,3,Strength,,simple,support|sustain,0,,https://www.poewiki.net/wiki/Warped_Timepiece,32
230,replica_hyrris_truth,Replica Hyrri's Truth,Amulet,amulet,T3,charm,support_charm,insight,2,1,1,1,3,Foresight,,simple,support|sustain|focus,0,,https://www.poewiki.net/wiki/Replica_Hyrri%27s_Truth,32
231,tear_of_purity,Tear of Purity,Amulet,amulet,T3,charm,support_charm,blood,2,1,1,1,3,Strength,,simple,support|sustain,0,,https://www.poewiki.net/wiki/Tear_of_Purity,32
232,replica_malachais_artifice,Replica Malachai's Artifice,Ring,ring,T3,charm,volatile_charm,frost,2,0,0,1,3,Dodge,,simple,wildcard|support|control,0,,https://www.poewiki.net/wiki/Replica_Malachai%27s_Artifice,32
233,replica_hinekoras_sight,Replica Hinekora's Sight,Amulet,amulet,T3,charm,support_charm,insight,2,1,1,1,3,Foresight,,simple,support|sustain|focus,0,,https://www.poewiki.net/wiki/Replica_Hinekora%27s_Sight,32
234,eyes_of_the_greatwolf,Eyes of the Greatwolf,Amulet,amulet,T3,charm,support_charm,insight,2,1,1,1,3,Foresight,,simple,support|sustain|focus,0,,https://www.poewiki.net/wiki/Eyes_of_the_Greatwolf,32
235,putembos_valley,Putembo's Valley,Ring,ring,T3,charm,volatile_charm,storm,2,0,0,1,3,Dodge,,simple,wildcard|support|tempo,0,,https://www.poewiki.net/wiki/Putembo%27s_Valley,32
236,loris_lantern,Lori's Lantern,Ring,ring,T3,charm,volatile_charm,ember,2,0,0,1,3,Burn,,simple,wildcard|support|ember,0,,https://www.poewiki.net/wiki/Lori%27s_Lantern,32
237,astramentis,Astramentis,Amulet,amulet,T3,charm,support_charm,insight,2,1,1,1,3,Foresight,,simple,support|sustain|focus,0,,https://www.poewiki.net/wiki/Astramentis,32
238,replica_emberwake,Replica Emberwake,Ring,ring,T3,charm,volatile_charm,ember,2,0,0,1,3,Burn,,simple,wildcard|support|ember,0,,https://www.poewiki.net/wiki/Replica_Emberwake,32
239,replica_doedres_damning,Replica Doedre's Damning,Ring,ring,T3,charm,volatile_charm,neutral,2,0,0,1,3,Poison,,simple,wildcard|support,0,,https://www.poewiki.net/wiki/Replica_Doedre%27s_Damning,32
240,icefang_orbit,Icefang Orbit,Ring,ring,T3,charm,volatile_charm,ember,2,0,0,1,3,Burn,,simple,wildcard|support|ember,0,,https://www.poewiki.net/wiki/Icefang_Orbit,32
241,ahkelis_meadow,Ahkeli's Meadow,Ring,ring,T3,charm,volatile_charm,neutral,2,0,0,1,3,Poison,,simple,wildcard|support,0,,https://www.poewiki.net/wiki/Ahkeli%27s_Meadow,32
242,eye_of_innocence,Eye of Innocence,Amulet,amulet,T3,charm,support_charm,ember,2,1,1,1,3,Regen,,simple,support|sustain|ember,0,,https://www.poewiki.net/wiki/Eye_of_Innocence,32
243,replica_badge_of_the_brotherhood,Replica Badge of the Brotherhood,Amulet,amulet,T3,charm,support_charm,bastion,2,1,1,1,3,Regen,,simple,support|sustain|bastion,0,,https://www.poewiki.net/wiki/Replica_Badge_of_the_Brotherhood,32
244,essence_worm,Essence Worm,Ring,ring,T3,charm,volatile_charm,frost,2,0,0,1,3,Dodge,,simple,wildcard|support|control,0,,https://www.poewiki.net/wiki/Essence_Worm,32
245,volls_devotion,Voll's Devotion,Amulet,amulet,T3,charm,support_charm,tempo,2,1,1,1,3,Strength,,simple,support|sustain|tempo,0,,https://www.poewiki.net/wiki/Voll%27s_Devotion,32
246,mutewind_seal,Mutewind Seal,Ring,ring,T2,charm,volatile_charm,neutral,4,1,0,2,5,Poison,,major,wildcard|support,0,,https://www.poewiki.net/wiki/Mutewind_Seal,32
247,bereks_pass,Berek's Pass,Ring,ring,T2,charm,volatile_charm,ember,4,1,0,2,5,Burn,,major,wildcard|support|ember,0,,https://www.poewiki.net/wiki/Berek%27s_Pass,32
248,betrayals_sting,Betrayal's Sting,Ring,ring,T2,charm,volatile_charm,frost,4,1,0,2,5,Dodge,,major,wildcard|support|control,0,,https://www.poewiki.net/wiki/Betrayal%27s_Sting,32
249,venarius_astrolabe,Venarius' Astrolabe,Amulet,amulet,T2,charm,support_charm,insight,3,2,2,1,6,Foresight,,major,support|sustain|focus,0,,https://www.poewiki.net/wiki/Venarius%27_Astrolabe,32
250,replica_tasalios_sign,Replica Tasalio's Sign,Ring,ring,T2,charm,volatile_charm,venom,4,1,0,2,5,Poison,,major,wildcard|support|venom,0,,https://www.poewiki.net/wiki/Replica_Tasalio%27s_Sign,32
251,bereks_grip,Berek's Grip,Ring,ring,T2,charm,volatile_charm,storm,4,1,0,2,5,Dodge,,major,wildcard|support|tempo,0,,https://www.poewiki.net/wiki/Berek%27s_Grip,32
252,ngamahus_sign,Ngamahu's Sign,Ring,ring,T2,charm,volatile_charm,ember,4,1,0,2,5,Burn,,major,wildcard|support|ember,0,,https://www.poewiki.net/wiki/Ngamahu%27s_Sign,32
253,nights_hold,Night's Hold,Amulet,amulet,T2,charm,support_charm,storm,3,2,2,1,6,Foresight,,major,support|sustain|tempo,0,,https://www.poewiki.net/wiki/Night%27s_Hold,32
254,soulbound,Soulbound,Ring,ring,T2,charm,volatile_charm,frost,4,1,0,2,5,Dodge,,major,wildcard|support|control,0,,https://www.poewiki.net/wiki/Soulbound,32
255,natural_hierarchy,Natural Hierarchy,Amulet,amulet,T2,charm,support_charm,neutral,3,2,2,1,6,Regen,,major,support|sustain,0,,https://www.poewiki.net/wiki/Natural_Hierarchy,32
256,bonemeld,Bonemeld,Amulet,amulet,T2,charm,support_charm,insight,3,2,2,1,6,Foresight,,major,support|sustain|focus,0,,https://www.poewiki.net/wiki/Bonemeld,32
257,shavronnes_revelation,Shavronne's Revelation,Ring,ring,T2,charm,volatile_charm,neutral,4,1,0,2,5,Poison,,major,wildcard|support,0,,https://www.poewiki.net/wiki/Shavronne%27s_Revelation,32
258,blood_of_corruption,Blood of Corruption,Amulet,amulet,T2,charm,support_charm,frost,3,2,2,1,6,Foresight,,major,support|sustain|control,0,,https://www.poewiki.net/wiki/Blood_of_Corruption,32
259,blightwell,Blightwell,Amulet,amulet,T2,charm,support_charm,ember,3,2,2,1,6,Regen,,major,support|sustain|ember,0,,https://www.poewiki.net/wiki/Blightwell,32
260,uzazas_valley,Uzaza's Valley,Ring,ring,T2,charm,volatile_charm,frost,4,1,0,2,5,Dodge,,major,wildcard|support|control,0,,https://www.poewiki.net/wiki/Uzaza%27s_Valley,32
261,uzazas_mountain,Uzaza's Mountain,Ring,ring,T3,charm,volatile_charm,neutral,2,0,0,1,3,Poison,,simple,wildcard|support,0,,https://www.poewiki.net/wiki/Uzaza%27s_Mountain,32
262,replica_winterheart,Replica Winterheart,Amulet,amulet,T3,charm,support_charm,ember,2,1,1,1,3,Regen,,simple,support|sustain|ember,0,,https://www.poewiki.net/wiki/Replica_Winterheart,32
